"sigla_uf","peso_aluno"
"AC",9.2315175097
"AC",9.2315175097
"AC",9.2315175097
"AC",9.2315175097
"AC",9.2315175097
"AC",9.2315175097
"AC",9.2315175097
"AC",9.2315175097
"AC",9.2315175097
"AC",9.2315175097
"AC",9.2315175097
"AC",9.2315175097
"AC",9.2315175097
"AC",9.2315175097
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",5.3379310345
"AC",6.8355204485
"AC",6.8355204485
"AC",6.8355204485
"AC",6.8355204485
"AC",6.8355204485
"AC",6.8355204485
"AC",6.8355204485
"AC",6.8355204485
"AC",6.8355204485
"AC",6.8355204485
"AC",4.5570136323
"AC",4.5570136323
"AC",4.5570136323
"AC",4.5570136323
"AC",4.5570136323
